Nº;TITULO;Autor;Año;SignaturaLCC;LCCSeccion;LCCNumero;LCCCutter;Ejemplar;Observaciones
46;Contabilidad general Teoria y practica Teoria y practica;Lazaro Rodriguez Ariza,  Maria Victoria Lopez Perez;2011;HB171.5.R74;HB;171.5;.R74;1;
47;Contabilidad general Teoria y practica Teoria y practica;Lazaro Rodriguez Ariza,  Maria Victoria Lopez Perez;2011;HB171.5.R74;HB;171.5;.R74;2;
48;Contabilidad general Teoria y practica Teoria y practica;Lazaro Rodriguez Ariza,  Maria Victoria Lopez Perez;2011;HB171.5.R74;HB;171.5;.R74;3;
49;ECONOMIA 19ed con Aplicaciones a Latinoamerica;Paul A. Samuelson, William D. Nordhaus;2010;HB171.5.S82;HB;171.5;.S82;1;
50;Globalizacion y Desarrollo Local  una perspectiva valenciana.;Jose Honrubia Lopez;2004;HC79.H73;HC;79;.H73;1;
51;SMART Internet(s): la investigacion;Frederic Martel;2015;HC79.M26;HC;79;.M26;1;
52;GESTION Y CONOCIMIENTO  en Organizaciones que aprenden.;Ernesto Gore, Ceferi Soler;2006;HD30.2.G37;HD;30.2;.G37;1;
53;Sistemas de informacion Introducción  a la Informática en las Organizaciones;Paul Beynon - Davies;2014;HD30.213.B49;HD;30.213;.B49;1;
54;Sistemas de informacion Introducción  a la Informática en las Organizaciones;Paul Beynon - Davies;2014;HD30.213.B49;HD;30.213;.B49;2;
55;Sistemas de informacion Introducción  a la Informática en las Organizaciones;Paul Beynon - Davies;2014;HD30.213.B49;HD;30.213;.B49;3;
56;Sistemas de informacion Introducción  a la Informática en las Organizaciones;Paul Beynon - Davies;2014;HD30.213.B49;HD;30.213;.B49;4;
57;Sistemas de informacion Introducción  a la Informática en las Organizaciones;Paul Beynon - Davies;2014;HD30.213.B49;HD;30.213;.B49;5;
58;Sistemas de informacion Introducción  a la Informática en las Organizaciones;Paul Beynon - Davies;2014;HD30.213.B49;HD;30.213;.B49;6;
59;Conceptos de Administración estrategica;Fred R. David;2013;HD30.28.D31;HD;30.28;.D31;1;
60;Conceptos de Administración estrategica;Fred R. David;2013;HD30.28.D31;HD;30.28;.D31;2;
61;Conceptos de Administración estrategica;Fred R. David;2013;HD30.28.D31;HD;30.28;.D31;3;
62;Conceptos de Administración estrategica;Fred R. David;2013;HD30.28.D31;HD;30.28;.D31;4;
63;Conceptos de Administración estrategica;Fred R. David;2013;HD30.28.D31;HD;30.28;.D31;5;
64;Administracion estrategica Un enfoque integrado;Charles W. Hill;2005;HD30.28.H54;HD;30.28;.H54;1;
65;Administración Estratégica Competitividad  y Conceptos de Globalización;Michael A. Hitt;2004;HD30.28.H59;HD;30.28;.H59;1;
66;Administración Estratégica;Garth Saloner;2011;HD30.28.S17;HD;30.28;.S17;1;
67;Administración Estratégica;Garth Saloner;2011;HD30.28.S17;HD;30.28;.S17;2;
68;Administración Estratégica;Garth Saloner;2011;HD30.28.S17;HD;30.28;.S17;3;
69;Administración Estratégica;Garth Saloner;2011;HD30.28.S17;HD;30.28;.S17;4;
70;Administracion de los sistemas de informacion;Kenneth J. Sousa;2017;HD30.28.S72;HD;30.28;.S72;1;
71;Administracion de los sistemas de informacion;Kenneth J. Sousa;2017;HD30.28.S72;HD;30.28;.S72;2;
72;Administracion de los sistemas de informacion;Kenneth J. Sousa;2017;HD30.28.S72;HD;30.28;.S72;3;
73;Administracion de los sistemas de informacion;Kenneth J. Sousa;2017;HD30.28.S72;HD;30.28;.S72;4;
74;Administracion de los sistemas de informacion;Kenneth J. Sousa;2017;HD30.28.S72;HD;30.28;.S72;5;
75;Metodología de la Investigacion;César Augusto Bernal;2006;HD30.4.B45;HD;30.4;.B45;1;
76;Metodología de la investigación  científica y asesoramiento de tesis;Humberto Ñaupas Paitán;2011;HD30.4.Ñ44;HD;30.4;.Ñ44;1;
77;Metodología de la investigación  científica y asesoramiento de tesis;Humberto Ñaupas Paitán;2011;HD30.4.Ñ44;HD;30.4;.Ñ44;2;
78;Las reglas no escritas para triunfar  en la empresa Informatica profesional;Roberto Canales Mora;2012;HD31.C25;HD;31;.C25;1;
79;Las reglas no escritas para triunfar  en la empresa Informatica profesional;Roberto Canales Mora;2012;HD31.C25;HD;31;.C25;2;
80;Las reglas no escritas para triunfar  en la empresa Informatica profesional;Roberto Canales Mora;2012;HD31.C25;HD;31;.C25;3;
81;Las reglas no escritas para triunfar  en la empresa Informatica profesional;Roberto Canales Mora;2012;HD31.C25;HD;31;.C25;3;
82;Las reglas no escritas para triunfar  en la empresa Informatica profesional;Roberto Canales Mora;2012;HD31.C25;HD;31;.C25;4;
83;Teoría y diseño organizacional;Richard l. daft;2005;HD31.D14;HD;31;.D14;1;
84;Administracion;Richard l. daft;2004;HD31.D14A;HD;31;.D14A;1;
85;Administracion;Richard l. daft;2004;HD31.D14A;HD;31;.D14A;2;
86;Administracion;Richard l. daft;2004;HD31.D14A;HD;31;.D14A;3;
87;Administracion;Luís R. Gómez-Mejía;2003;HD31.G63;HD;31;.G63;1;
88;Teoria de la organizacion Un enfoque estrategico;B. J. Hodge;2003;HD31.H64;HD;31;.H64;1;
89;Teoria de la organizacion Un enfoque estrategico;B. J. Hodge;2003;HD31.H64;HD;31;.H64;2;
90;Teoria de la organizacion Un enfoque estrategico;B. J. Hodge;2003;HD31.H64;HD;31;.H64;3;
91;ADMINISTRACION Una perspectiva global;Harold Koontz, Heinz Weihrich;2004;HD31.K74;HD;31;.K74;1;
92;Administracion Una prespectiva global y empresarila;Harold Koontz;2008;HD31.K74;HD;31;.K74;1;
93;Administracion Una prespectiva global y empresarial;Harold Koontz;2012;HD31.K74;HD;31;.K74;1;
94;Administración Una prespectiva global y empresarial;Harold Koontz;2012;HD31.K74;HD;31;.K74;2;
95;Administración Una prespectiva global y empresarial;Harold Koontz;2012;HD31.K74;HD;31;.K74;3;
96;Administración Una prespectiva global y empresarial;Harold Koontz;2012;HD31.K74;HD;31;.K74;4;
97;Administración Una prespectiva global y empresarial;Harold Koontz;2012;HD31.K74;HD;31;.K74;5;
98;Administracion Enfoque por competencias  con casos latinoamericanos;Francisco Mochón Morcillo;2014;HD31.M67;HD;31;.M67;1;
99;Administracion Enfoque por competencias  con casos latinoamericanos;Francisco Mochón Morcillo;2014;HD31.M67;HD;31;.M67;2;
100;Administracion Enfoque por competencias  con casos latinoamericanos;Francisco Mochón Morcillo;2014;HD31.M67;HD;31;.M67;3;
101;Administracion Enfoque por competencias  con casos latinoamericanos;Francisco Mochón Morcillo;2014;HD31.M67;HD;31;.M67;4;
102;Administracion Enfoque por competencias con casos latinoamericanos;Francisco Mochón Morcillo;2014;HD31.M67;HD;31;.M67;5;
103;Administracion ;Robbins Stephen P, Mary Coulter;2005;HD31.R71;HD;31;.R71;1;
104;Administracion;Stephen P. Robbins;2014;HD31.R71;HD;31;.R71;1;
105;Administracion;Stephen P. Robbins;2010;HD31.R71 ;HD;31;.R71 ;1;
106;Administracion;Stephen P. Robbins;2010;HD31.R71;HD;31;.R71;2;
107;Administracion;Stephen P. Robbins;2014;HD31.R71;HD;31;.R71;2;
108;Administracion;Stephen P. Robbins;2014;HD31.R71;HD;31;.R71;3;
109;Administracion;Stephen P. Robbins;2014;HD31.R71;HD;31;.R71;4;
110;Administracion;Stephen P. Robbins;2014;HD31.R71;HD;31;.R71;5;
111;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;1;
112;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;2;
113;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;3;
114;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;4;
115;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;5;
116;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;6;
117;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;7;
118;Organización basada en procesos;Jorge Macazaga;2007;HD37.E8.M12;HD;37;.E8.M12;8;
119;Administracion de conocimiento y desarrollo  basado en conocimiento Redes e innovación;América Martínez Sánchez;2011;HD37.S66.M26;HD;37;.S66.M26;1;
120;Administracion de conocimiento y desarrollo  basado en conocimiento Redes e innovación;América Martínez Sánchez;2011;HD37.S66.M26;HD;37;.S66.M26;2;
121;Ventaja Competitiva Creacion y sostenimiento de un  desempeño superior;Michael E. Porter;2002;HD41.P78;HD;41;.P78;1;
122;Aprendizajes para la autogestion territorial mapuche  Experiencias de cinco organizaciones territoriales indigenas;Comunidad Felipe Punolef;2005;HD510.C66.A64;HD;510;.C66.A64;1;
123;Aprendizajes para la autogestion territorial mapuche  Experiencias de cinco organizaciones territoriales indigenas;Comunidad Felipe Punolef;2005;HD510.C66.A64;HD;510;.C66.A64;2;
124;Liderazgo Emprendedor Como se un emprendedor  de exito y no morir en el intento;Alejandro E. Lerma Kirchner;2007;HD57.7.L61;HD;57.7;.L61;1;
125;Liderazgo en las organizaciones;Gary Yukl;2008;HD57.7.Y91;HD;57.7;.Y91;1;
126;Insercion del el mercado laboral del egresado sanmarquino;Oficina Tecnica del Estudiante;2009;HD5761.A6.159;HD;5761;.A6.159;1;
127;Comportamiento organizacional;Stephen P. Robbins;2013;HD58.7.R71;HD;58.7;.R71;1;
128;Innovación y gestión del conocimiento;Roberto Carballo;2006;HD58.8.C29;HD;58.8;.C29;1;
129;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;2000;HD69.58.V39;HD;69.58;.V39;1;
130;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;2000;HD69.58.V39;HD;69.58;.V39;1;
131;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;2000;HD69.58.V39;HD;69.58;.V39;1;
132;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;2000;HD69.58.V39;HD;69.58;.V39;1;
133;Formulacion y evaluacion de proyectos informaticos;Gabriel Baca Urbina;2006;HD69.P75.B12;HD;69;.P75.B12;1;
134;Formulacion y evaluacion de proyectos informaticos;Gabriel Baca Urbina;2006;HD69.P75.B12;HD;69;.P75.B12;2;
135;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;2010;HD69.P75.C75;HD;69;.P75.C75;1;
136;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;2010;HD69.P75.C75;HD;69;.P75.C75;2;
137;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;2010;HD69.P75.C75;HD;69;.P75.C75;3;
138;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;2010;HD69.P75.C75;HD;69;.P75.C75;4;
139;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;2010;HD69.P75.C75;HD;69;.P75.C75;5;
140;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;2010;HD69.P75.C75;HD;69;.P75.C75;7;
141;Formulacion y Evaluacion de Proyectos;Marcial Córdoba Padilla;2009;HD69.P75.C79;HD;69;.P75.C79;1;
142;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;1;
143;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;2;
144;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;3;
145;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;4;
146;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;5;
147;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;6;
148;El arte de dirigir proyectos;Ángel Díaz Martín;2007;HD69.P75.D67;HD;69;.P75.D67;7;
149;Direccion y Gestion de Proyectos Un enfoque práctico;Alberto Domingo Ajenjo;2009;HD69.P75.D88;HD;69;.P75.D88;1;
150;Fortalecimiento de capacidades en el uso y apropiación  social de las tecnologías de la información  y las comunicaciones(TIC): Aportes desde los telecentros;Jorge Mauricio Escobar Sarria;2012;HD69.P75.E77;HD;69;.P75.E77;1;
151;Tecnologías de la información y la comunicación técnicas básicas;José Carlos Gallego;2012;HD69.P75.G15;HD;69;.P75.G15;1;
152;Project Management utilizando Microsoft Visio y Microsoft Project;Verónica García Fronti;2008;HD69.P75.G23;HD;69;.P75.G23;1;
153;Gestion de proyectos con Microsoft Project 2007;Antonio Colmenar;2009;HD69.P75.G38;HD;69;.P75.G38;1;
154;Gestion de proyectos con Microsoft Project 2007;Antonio Colmenar;2009;HD69.P75.G38;HD;69;.P75.G38;2;
155;Gestion de proyectos con Microsoft Project 2007;Antonio Colmenar;2009;HD69.P75.G38;HD;69;.P75.G38;3;
156;Gestion de proyectos con Microsoft Project;Antonio Colmenar;2007;HD69.P75.G38G;HD;69;.P75.G38G;1;
157;La gestion de proyectos en el Peru Analisis de madurez 2015-2016;Félix Lossio;2016;HD69.P75.L91;HD;69;.P75.L91;1;
158;Project 2007 Gestión de Presupuestos;Orlando Loyola Giraldo;2007;HD69.P75.L93;HD;69;.P75.L93;1;
159;Project 2007 Gestión de Presupuestos;Orlando Loyola Giraldo;2007;HD69.P75.L93;HD;69;.P75.L93;2;
160;Formulacion y evaluacion de proyectos Enfoque para emprendedores;Rafael Mendez;2012;HD69.P75.M42;HD;69;.P75.M42;1;
161;Formulacion y evaluacion de proyectos Enfoque para emprendedores;Rafael Mendez;2012;HD69.P75.M42;HD;69;.P75.M42;2;
162;Formulacion y evaluacion de proyectos Enfoque para emprendedores;Rafael Mendez;2012;HD69.P75.M42;HD;69;.P75.M42;3;
163;PROJECT 2003 para gente de negocios;Anonimo;2007;HD69.P75.M89;HD;69;.P75.M89;1;
164;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97 ;HD;69;.P75.M97 ;1;
165;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97;HD;69;.P75.M97;2;
166;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97;HD;69;.P75.M97;3;
167;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97;HD;69;.P75.M97;4;
168;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97;HD;69;.P75.M97;5;
169;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97;HD;69;.P75.M97;6;
170;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;2009;HD69.P75.M97;HD;69;.P75.M97;7;
171;PROJECT 2007 Aplicado a la ingenieria con desarrollo de proyectos ;Cesar Oceda Samaniego;2007;HD69.P75.O28;HD;69;.P75.O28;1;
172;PROJECT 2007 Aplicado a la ingenieria con desarrollo de proyectos ;Cesar Oceda Samaniego;2007;HD69.P75.O28;HD;69;.P75.O28;2;
173;Gestion de proyectos;Gesvin Romero Moreno;2005;HD69.P75.R81;HD;69;.P75.R81;1;
174;Gestion de proyectos;Gestion Romero Moreno;2007;HD69.P75.R81;HD;69;.P75.R81;2;
175;Casos de Administracion General en Organizaciones que operan en el Peru - tomo XII;Isabel Miyashiro Miyashiro ;2002;HD70.P4.C32 t.12;HD;70;.P4.C32 t.12;1;
176;Preparacion para la certificacion PMP Basado en la guia del PMBOK;Luis Angulo Aguirre;2014;HD75.9.A61;HD;75.9;.A61;1;
177;Guia de los fundamentos de la direccion de proyectos Guia del PMBOK;Proyect Management Institute;2013;HD75.9.F96;HD;75.9;.F96;1;
178;Guia de los fundamentos para direccion de proyectos Guia del PMBOK;Proyect Management Institute;2004;HD75.9.F96;HD;75.9;.F96;1;
179;Gestion de proyectos de E-Learning;David Roldán Martínez;2010;HD75.9.R79;HD;75.9;.R79;1;
180;Preparacion y evaluacion de proyectos;Nassir Sapag Chain;2003;HD75.9.S22;HD;75.9;.S22;1;
181;Preparacion y evaluacion de proyectos;Nassir Sapag Chain;2003;HD75.9.S22;HD;75.9;.S22;2;
182;Gestion de proyectos con enfoque PMI proyect y Excel;Francisco J. Toro Lopez;2012;HD75.9.T72;HD;75.9;.T72;1;
183;Proyeçtos con Lineamientos del PMI;Francisco J. Toro Lopez;2017;HD75.9.T72 ;HD;75.9;.T72 ;1;
184;Gestion de proyectos con enfoque PMI proyect y Excel;Francisco J. Toro Lopez;2012;HD75.9.T72;HD;75.9;.T72;2;
185;Marketing de Servicios Personal, tecnologia y estrategia;Christopher Lovelock;2009;HD9980.5.L93;HD;9980.5;.L93;1;
186;Competitividad, clusters e innovacion;Sergio A. Berumen;2009;HF1359.B45;HF;1359;.B45;1;
187;Marketing Relacional directo e interactivo;Alvaro Gomez Vieites;2006;HF5415.12.G68;HF;5415.12;.G68;1;
188;Planes de Negocios Una metodologia alternativa;Pedro Franco Concha;2015;HF5415.12.P4.F82;HF;5415.12;.P4.F82;1;
189;Planes de Negocios Una metodologia alternativa;Pedro Franco Concha;2015;HF5415.12.P4.F82;HF;5415.12;.P4.F82;2;
190;Marketing estrategico en la empresa peruana;David Mayorga;2005;HF5415.12.P4.M32;HF;5415.12;.P4.M32;1;
191;Introduccion a los negocios;William M. Pride;2017;HF5415.12.P4.P86;HF;5415.12;.P4.P86;1;
192;Introduccion a los negocios;William M. Pride;2017;HF5415.12.P4.P86;HF;5415.12;.P4.P86;2;
193;Introduccion a los negocios;William M. Pride;2017;HF5415.12.P4.P86;HF;5415.12;.P4.P86;3;
194;Introduccion a los negocios;William M. Pride;2017;HF5415.12.P4.P86;HF;5415.12;.P4.P86;4;
195;Introduccion a los negocios;William M. Pride;2017;HF5415.12.P4.P86;HF;5415.12;.P4.P86;5;
196;Social Media Manager;Dolores Vela Garcia;2013;HF5415.12.V39;HF;5415.12;.V39;1;
197;Marketing;Roger A. Kerin;2014;HF5415.13.K44;HF;5415.13;.K44;1;
198;Marketing;Roger A. Kerin;2014;HF5415.13.K44;HF;5415.13;.K44;2;
199;Marketing;Roger A. Kerin;2014;HF5415.13.K44;HF;5415.13;.K44;3;
200;Marketing;Roger A. Kerin;2014;HF5415.13.K44;HF;5415.13;.K44;4;
201;Marketing;Roger A. Kerin;2014;HF5415.13.K44;HF;5415.13;.K44;5;
202;Marketing Un enfoque global;E. Jerome McCarthy;2001;HF5415.13.M12;HF;5415.13;.M12;1;
203;CRM Como mejorar las relaciones con los clientes;Ronald S. Swift;2002;HF5415.5.S98;HF;5415.5;.S98;1;
204;Fundamentos del Marketing;Philip Kotler;2003;HF5415.K77;HF;5415;.K77;1;
205;Fundamentos del Marketing;Gary Armstrong;2013;HF5415.K77 ;HF;5415;.K77 ;1;
206;Fundamentos del Marketing;Philip Kotler;2003;HF5415.K77;HF;5415;.K77;2;
207;Fundamentos del Marketing;Gary Armstrong;2013;HF5415.K77;HF;5415;.K77;2;
208;Fundamentos del Marketing;Rafael Zalvidea;2003;HF5415.K77;HF;5415;.K77;3;
209;Fundamentos del Marketing;Gary Armstrong;2013;HF5415.K77;HF;5415;.K77;3;
210;Fundamentos del Marketing;Rafael Zalvidea;2003;HF5415.K77;HF;5415;.K77;4;
211;Fundamentos del Marketing;Gary Armstrong;2013;HF5415.K77;HF;5415;.K77;4;
212;Fundamentos del Marketing;Rafael Zalvidea;2003;HF5415.K77;HF;5415;.K77;5;
213;El plan de marketing en la practica;Jose Maria Sainz de Vicuña Ancin;2004;HF5415.S16;HF;5415;.S16;1;
214;Sitemas de informacion para los negocios;Daniel Cohen Karen;2005;HF5548.2.C72;HF;5548.2;.C72;1;
215;Tecnologias de informacion Estrategias y transformacion en los negocios;Daniel Cohen Karen;2014;HF5548.2.C72T;HF;5548.2;.C72T;1;
216;Aplicaciones de negocios con Microsoft Silverlight 5;Rodrigo Diaz Concha;2013;HF5548.2.D69;HF;5548.2;.D69;1;
217;Aplicaciones de negocios con Microsoft Silverlight 5;Rodrigo Diaz Concha;2013;HF5548.2.D69;HF;5548.2;.D69;2;
218;Negocios En ambientes computacionales;Antonio Donadio Medaglia;2007;HF5548.2.N36;HF;5548.2;.N36;1;
219;Comercio electronico y estrategia empresarial hacia la economia digital;Ana Rosa del Aguila;2001;HF5548.32.A32;HF;5548.32;.A32;1;
220;Comercio Electronico;Alarcon Herrera Erika;2005;HF5548.32.A35;HF;5548.32;.A35;1;
221;Comercio electronico y gestion del conocimiento;Augusto Bernuy Alva;2010;HF5548.32.B45;HF;5548.32;.B45;1;
222;Comercio electronico y gestion del conocimiento;Augusto Bernuy Alva;2010;HF5548.32.B45;HF;5548.32;.B45;2;
223;Fundamentos de Comercio Electronico;Toby J. Velte;2001;HF5548.32.E44;HF;5548.32;.E44;1;
224;Comercio electronico 2.0;Oscar Rodrigo Gonzalez;2014;HF5548.32.G66;HF;5548.32;.G66;1;
225;La tecnologia e-Business;Jose Manuel Huidobro Moya;2005;HF5548.32.H89;HF;5548.32;.H89;1;
226;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;2014;HF5548.32.L29;HF;5548.32;.L29;1;
227;e-Commerce negocios, tecnologia, sociedad;Kenneth C. Laudon;2009;HF5548.32.L29 ;HF;5548.32;.L29 ;1;
228;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;2014;HF5548.32.L29;HF;5548.32;.L29;2;
229;e-Commerce negocios, tecnologia, sociedad;Kenneth C. Laudon;2009;HF5548.32.L29;HF;5548.32;.L29;2;
230;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;2014;HF5548.32.L29;HF;5548.32;.L29;3;
231;e-Commerce negocios, tecnologia, sociedad;Kenneth C. Laudon;2009;HF5548.32.L29;HF;5548.32;.L29;3;
232;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;2014;HF5548.32.L29;HF;5548.32;.L29;4;
233;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;2014;HF5548.32.L29;HF;5548.32;.L29;5;
234;Derecho del comercio electronico;Patricia Nieto Melgarejo;2005;HF5548.32.N56;HF;5548.32;.N56;1;
235;Principios de seguridad en el comercio electronico;Juan Francisco Puentes Calvo;2009;HF5548.32.P91;HF;5548.32;.P91;1;
236;Principios de seguridad en el comercio electronico;Juan Francisco Puentes Calvo;2009;HF5548.32.P91;HF;5548.32;.P91;2;
237;e-Commerce;Jeffrey F. Rayport;2001;HF5548.32.R28;HF;5548.32;.R28;1;
238;Comercio Electronico;Gary P. Schneider;2004;HF5548.32.S29;HF;5548.32;.S29;1;
